user_id,signup_date,country,device,age_group,gender,acquisition_source,premium_user
U00001,2025-05-05,UK,Android,18-24,Male,Ads,0
U00002,2025-01-22,Brazil,Android,25-34,Male,Organic,0
U00003,2025-01-05,USA,Android,25-34,Female,Organic,0
U00004,2025-05-24,Germany,Android,35-44,Female,Organic,0
U00005,2025-02-23,Japan,Android,18-24,Male,Ads,0
U00006,2025-02-17,Germany,iOS,25-34,Female,Organic,0
U00007,2025-02-13,Germany,iOS,45-54,Female,Ads,1
U00008,2025-01-28,USA,Android,18-24,Male,Organic,0
U00009,2025-05-24,UK,Android,25-34,Male,Organic,0
U00010,2025-01-20,UK,iOS,18-24,Female,Organic,0
U00011,2025-05-12,Japan,iOS,25-34,Female,Ads,0
U00012,2025-05-24,USA,Android,18-24,Male,Organic,0
U00013,2025-06-23,Brazil,Android,35-44,Male,Referral,0
U00014,2025-04-16,USA,Android,25-34,Male,Organic,0
U00015,2025-01-17,India,Android,55+,Female,Organic,1
U00016,2025-04-25,USA,iOS,35-44,Male,Organic,0
U00017,2025-03-23,Japan,Android,55+,Female,Organic,0
U00018,2025-01-07,UK,Android,18-24,Female,Organic,0
U00019,2025-01-06,India,Web,45-54,Male,Organic,0
U00020,2025-01-19,Brazil,iOS,18-24,Female,Ads,0
U00021,2025-02-12,Australia,Android,35-44,Female,Organic,0
U00022,2025-02-15,USA,iOS,45-54,Female,Organic,1
U00023,2025-04-09,Brazil,iOS,18-24,Male,Organic,0
U00024,2025-04-27,Australia,Android,25-34,Female,Organic,0
U00025,2025-01-06,India,Android,25-34,Female,Organic,0
U00026,2025-04-19,Japan,iOS,25-34,Female,Organic,0
U00027,2025-02-08,India,Android,18-24,Male,Organic,0
U00028,2025-05-20,USA,iOS,45-54,Male,Organic,0
U00029,2025-05-07,USA,Android,45-54,Female,Organic,0
U00030,2025-05-17,Germany,Android,18-24,Male,Organic,0
U00031,2025-04-16,Australia,iOS,55+,Male,Organic,0
U00032,2025-03-23,Brazil,Android,18-24,Male,Organic,0
U00033,2025-02-12,USA,iOS,25-34,Female,Organic,1
U00034,2025-03-29,Japan,iOS,55+,Female,Ads,0
U00035,2025-04-25,India,Android,25-34,Male,Organic,0
U00036,2025-02-24,USA,iOS,25-34,Male,Referral,0
U00037,2025-06-07,Canada,iOS,18-24,Male,Referral,0
U00038,2025-06-18,Canada,iOS,18-24,Female,Organic,0
U00039,2025-01-02,USA,Web,18-24,Male,Organic,0
U00040,2025-05-28,USA,Android,45-54,Male,Organic,0
U00041,2025-06-06,India,Android,25-34,Female,Organic,0
