video_id,creator_id,category,language,upload_date,duration_sec,has_hashtags,is_verified_creator
V00001,C0918,Gaming,Portuguese,2025-05-23,94,0,0
V00002,C0870,Comedy,Japanese,2025-06-13,123,0,0
V00003,C0978,News,Spanish,2025-03-09,59,0,0
V00004,C0393,Technology,English,2025-01-11,131,0,0
V00005,C0104,Food,English,2025-05-05,118,0,0
V00006,C0704,Sports,English,2025-02-21,128,1,1
V00007,C0218,Music,English,2025-05-27,140,1,0
V00008,C0087,Comedy,Hindi,2025-06-09,114,1,0
V00009,C0231,Gaming,Japanese,2025-01-23,81,0,0
V00010,C0952,Music,English,2025-01-11,61,1,0
V00011,C0516,Fashion,English,2025-02-02,116,1,0
V00012,C0509,Gaming,English,2025-04-01,124,1,1
V00013,C0755,Music,Spanish,2025-03-19,116,0,1
V00014,C0055,News,Japanese,2025-04-03,118,1,0
V00015,C0047,Sports,English,2025-02-28,95,1,0
V00016,C0561,Technology,Spanish,2025-04-03,35,1,0
V00017,C0680,Food,Japanese,2025-05-25,166,0,0
V00018,C0933,Food,Hindi,2025-05-27,110,1,0
V00019,C0392,Music,Spanish,2025-06-29,136,1,0
V00020,C0685,News,Portuguese,2025-04-14,110,1,0
V00021,C0027,Music,English,2025-02-15,61,1,0
V00022,C0134,Gaming,English,2025-03-15,55,1,1
V00023,C0637,News,English,2025-05-13,126,1,0
V00024,C0971,Sports,English,2025-05-18,127,1,0
V00025,C0387,Fashion,Spanish,2025-03-17,21,0,0
V00026,C0510,Food,Spanish,2025-04-03,180,1,0
V00027,C0457,Sports,Japanese,2025-02-20,127,1,0
V00028,C0710,Technology,Japanese,2025-01-29,130,1,0
V00029,C0029,Fashion,English,2025-04-14,38,0,0
V00030,C0989,Comedy,English,2025-06-18,159,0,0
V00031,C0348,Travel,English,2025-03-26,77,1,1
V00032,C0441,Music,Spanish,2025-01-03,57,1,0
V00033,C0538,Food,English,2025-02-26,162,0,0
V00034,C0661,Education,Portuguese,2025-06-04,153,1,0
V00035,C0780,Comedy,Japanese,2025-03-29,66,1,0
V00036,C0360,Sports,English,2025-03-16,133,1,0
V00037,C0255,Food,Portuguese,2025-05-12,20,1,0
V00038,C0614,Gaming,Hindi,2025-03-03,108,1,0
V00039,C0707,Music,Japanese,2025-04-13,150,0,0
V00040,C0760,Gaming,English,2025-05-13,59,1,0
V00041,C0933,Gaming,Portuguese,2025-01-08,145,1,0
V00042,C0672,Travel,Japanese,2025-01-19,24,0,0
V00043,C0101,News,English,2025-06-28,113,1,0
V00044,C0101,Music,English,2025-04-14,61,1,0
